total_harvarea,avg_farmsize,cropland_fraction,majcrop,majcrop_rank,crop,country,cropname,iso_a3
0.2820373584800109,0.000817499589797133,0.043942028985507246,8.0,1,2,Jamaica,Cassava,JAM
0.2820373584800109,0.000817499589797133,0.043942028985507246,2.0,2,2,Jamaica,Cassava,JAM
0.02343520103022456,0.002343520103022456,0.0059473684210526335,2.0,1,2,Saint Vincent and the Grenadines,Cassava,VCT
0.02343520103022456,0.002343520103022456,0.0059473684210526335,0.0,2,2,Saint Vincent and the Grenadines,Cassava,VCT
0.0026093743739323827,7.674630511565831e-05,0.0,16.0,1,2,Nepal,Cassava,NPL
0.0026093743739323827,7.674630511565831e-05,0.0,15.0,2,2,Nepal,Cassava,NPL
2.118068229929804,0.00022044840028411782,0.07913701301546956,10.0,1,2,Niger,Cassava,NER
2.118068229929804,0.00022044840028411782,0.07913701301546956,14.0,2,2,Niger,Cassava,NER
0.004704539882368408,0.000588067485296051,0.0008552631578947368,9.0,1,2,Antigua and Barbuda,Cassava,ATG
0.004704539882368408,0.000588067485296051,0.0008552631578947368,0.0,2,2,Antigua and Barbuda,Cassava,ATG
0.7495367682404321,0.00021999905143540714,0.018761373642500734,8.0,1,2,Honduras,Cassava,HND
0.7495367682404321,0.00021999905143540714,0.018761373642500734,9.0,2,2,Honduras,Cassava,HND
0.06063516180415718,0.00021425852227617377,0.0630611865352427,8.0,1,2,Puerto Rico,Cassava,PRI
0.06063516180415718,0.00021425852227617377,0.0630611865352427,2.0,2,2,Puerto Rico,Cassava,PRI
0.7599676155823545,0.002171336044521013,0.4157593984962406,10.0,1,2,Gambia,Cassava,GMB
0.7599676155823545,0.002171336044521013,0.4157593984962406,12.0,2,2,Gambia,Cassava,GMB
1.3853917059221914e-25,3.744301907897814e-27,0.0,10.0,1,2,France,Cassava,FRA
1.3853917059221914e-25,3.744301907897814e-27,0.0,8.0,2,2,France,Cassava,FRA
1.1720907328317347e-25,6.894651369598439e-27,0.0,10.0,1,2,Switzerland,Cassava,CHE
1.1720907328317347e-25,6.894651369598439e-27,0.0,16.0,2,2,Switzerland,Cassava,CHE
0.009769285558832053,4.984329366751047e-05,0.00011278195488721803,10.0,1,2,Bahamas,Cassava,BHS
0.009769285558832053,4.984329366751047e-05,0.00011278195488721803,0.0,2,2,Bahamas,Cassava,BHS
1.135664003639988,5.300648791785242e-05,0.10829969907265245,10.0,1,2,Sudan (former),Cassava,F206
1.135664003639988,5.300648791785242e-05,0.10829969907265245,12.0,2,2,Sudan (former),Cassava,F206
87.01146209003574,0.0071134288824424245,0.035974880382775125,9.0,1,2,Paraguay,Cassava,PRY
87.01146209003574,0.0071134288824424245,0.035974880382775125,8.0,2,2,Paraguay,Cassava,PRY
0.00034961601693339617,2.6168863542918877e-07,0.00021273242987708796,10.0,1,2,Mauritania,Cassava,MRT
391.334391476732,0.00665885741592901,0.024476939596690343,2.0,1,2,Indonesia,Cassava,IDN
391.334391476732,0.00665885741592901,0.024476939596690343,8.0,2,2,Indonesia,Cassava,IDN
56.96487382934805,0.0025259344550083384,0.0024004872948600662,2.0,1,2,Colombia,Cassava,COL
56.96487382934805,0.0025259344550083384,0.0024004872948600662,9.0,2,2,Colombia,Cassava,COL
6.205133781186546,0.0006827832065566181,0.056958163454410675,9.0,1,2,Argentina,Cassava,ARG
6.205133781186546,0.0006827832065566181,0.056958163454410675,8.0,2,2,Argentina,Cassava,ARG
0.1158404486084823,0.00017367383599472608,0.01285252110786712,2.0,1,2,Suriname,Cassava,SUR
0.1158404486084823,0.00017367383599472608,0.01285252110786712,10.0,2,2,Suriname,Cassava,SUR
25.760448689572513,0.02991922031309235,0.2591545938015771,9.0,1,2,Haiti,Cassava,HTI
25.760448689572513,0.02991922031309235,0.2591545938015771,12.0,2,2,Haiti,Cassava,HTI
0.035627955621066576,9.37577779501752e-05,0.0024085872576177286,2.0,1,2,Belize,Cassava,BLZ
0.035627955621066576,9.37577779501752e-05,0.0024085872576177286,8.0,2,2,Belize,Cassava,BLZ
0.06479034124822647,0.002399642268452832,0.014522417153996102,10.0,1,2,Namibia,Cassava,NAM
0.06479034124822647,0.002399642268452832,0.014522417153996102,7.0,2,2,Namibia,Cassava,NAM
12.6610306527092,0.0011255249935735799,0.04519091755524468,10.0,1,2,Zimbabwe,Cassava,ZWE
12.6610306527092,0.0011255249935735799,0.04519091755524468,9.0,2,2,Zimbabwe,Cassava,ZWE
2.8865994748284415e-25,2.8865994748284414e-26,0.27931578947368424,10.0,1,2,Albania,Cassava,ALB
2.8865994748284415e-25,2.8865994748284414e-26,0.27931578947368424,8.0,2,2,Albania,Cassava,ALB
17.78322227044555,0.0181832538552613,0.00025939080830911633,8.0,1,2,Liberia,Cassava,LBR
17.78322227044555,0.0181832538552613,0.00025939080830911633,2.0,2,2,Liberia,Cassava,LBR
359.57555444449207,0.024156906580080087,0.44800307621590085,12.0,1,2,Thailand,Cassava,THA
359.57555444449207,0.024156906580080087,0.44800307621590085,2.0,2,2,Thailand,Cassava,THA
0.9469414481527849,0.0002474370128436856,0.012329432151059647,2.0,1,2,Guyana,Cassava,GUY
0.9469414481527849,0.0002474370128436856,0.012329432151059647,10.0,2,2,Guyana,Cassava,GUY
0.04395566436642184,0.00024284897440012067,0.0,2.0,1,2,Brunei Darussalam,Cassava,BRN
0.04395566436642184,0.00024284897440012067,0.0,13.0,2,2,Brunei Darussalam,Cassava,BRN
5.223386034936077e-23,1.132809810222528e-26,0.24670262187674782,9.0,1,2,Greece,Cassava,GRC
5.223386034936077e-23,1.132809810222528e-26,0.24670262187674782,12.0,2,2,Greece,Cassava,GRC
5.063373987121395,0.0008990365744178612,0.2567822031997608,12.0,1,2,Cambodia,Cassava,KHM
5.063373987121395,0.0008990365744178612,0.2567822031997608,9.0,2,2,Cambodia,Cassava,KHM
2.2511959318071604,0.052353393762957216,0.004908200734394127,2.0,1,2,Comoros,Cassava,COM
2.2511959318071604,0.052353393762957216,0.004908200734394127,9.0,2,2,Comoros,Cassava,COM
0.7244289470676222,5.01300219408776e-05,0.042276731896171815,9.0,1,2,South Sudan,Cassava,SSD
0.7244289470676222,5.01300219408776e-05,0.042276731896171815,10.0,2,2,South Sudan,Cassava,SSD
910.1370854320776,0.03187424127730187,0.3469553348595275,10.0,1,2,Nigeria,Cassava,NGA
910.1370854320776,0.03187424127730187,0.3469553348595275,12.0,2,2,Nigeria,Cassava,NGA
4.462535392581229e-26,8.925070785162458e-27,0.0034736842105263163,4.0,1,2,Slovenia,Cassava,SVN
4.462535392581229e-26,8.925070785162458e-27,0.0034736842105263163,8.0,2,2,Slovenia,Cassava,SVN
0.1382371997606242,0.00022773838510811237,0.0012217116101621438,2.0,1,2,New Caledonia,Cassava,NCL
0.1382371997606242,0.00022773838510811237,0.0012217116101621438,8.0,2,2,New Caledonia,Cassava,NCL
0.0024463902893785416,7.891581578640457e-05,0.015789473684210527,2.0,1,2,Bhutan,Cassava,BTN
0.0024463902893785416,7.891581578640457e-05,0.015789473684210527,16.0,2,2,Bhutan,Cassava,BTN
6.301296193712915,0.003963079367115041,0.04128136378682555,8.0,1,2,Dominican Republic,Cassava,DOM
6.301296193712915,0.003963079367115041,0.04128136378682555,9.0,2,2,Dominican Republic,Cassava,DOM
0.0016204415514948778,0.00040511038787371945,0.0,7.0,1,2,Chile,Cassava,CHL
1.3621189551677018e-21,4.381212464354139e-25,0.17691032824905623,9.0,1,2,Portugal,Cassava,PRT
1.3621189551677018e-21,4.381212464354139e-25,0.17691032824905623,10.0,2,2,Portugal,Cassava,PRT
2.399032805666593,0.0017271654468441994,0.011627827668523362,8.0,1,2,Costa Rica,Cassava,CRI
2.399032805666593,0.0017271654468441994,0.011627827668523362,2.0,2,2,Costa Rica,Cassava,CRI
127.89657185293436,0.005602127545025596,0.018657814048919932,10.0,1,2,United Republic of Tanzania,Cassava,TZA
127.89657185293436,0.005602127545025596,0.018657814048919932,9.0,2,2,United Republic of Tanzania,Cassava,TZA
0.00957847313077309,0.00021285495846162423,0.02770760233918129,10.0,1,2,Kazakhstan,Cassava,KAZ
0.00957847313077309,0.00021285495846162423,0.02770760233918129,16.0,2,2,Kazakhstan,Cassava,KAZ
0.0018252619775012136,0.0018252619775012136,0.031052631578947377,10.0,1,2,Singapore,Cassava,SGP
2.172268864300403e-26,2.172268864300403e-26,0.8226315789473686,10.0,1,2,North Macedonia,Cassava,MKD
1.135664003639988,5.300648791785242e-05,0.10829969907265245,10.0,1,2,Sudan,Cassava,SDN
1.135664003639988,5.300648791785242e-05,0.10829969907265245,12.0,2,2,Sudan,Cassava,SDN
640.8523876890799,0.021482765837185475,0.00039362090654546935,9.0,1,2,Democratic Republic of the Congo,Cassava,COD
640.8523876890799,0.021482765837185475,0.00039362090654546935,8.0,2,2,Democratic Republic of the Congo,Cassava,COD
5.493722308892757,0.03815084936731081,0.004714912280701755,2.0,1,2,Equatorial Guinea,Cassava,GNQ
5.493722308892757,0.03815084936731081,0.004714912280701755,8.0,2,2,Equatorial Guinea,Cassava,GNQ
0.31474275714035116,3.609021409704749e-05,0.0515590920886668,10.0,1,2,Burkina Faso,Cassava,BFA
0.31474275714035116,3.609021409704749e-05,0.0515590920886668,12.0,2,2,Burkina Faso,Cassava,BFA
29.885299859261067,0.013932540726928237,0.3014189669979144,10.0,1,2,Malawi,Cassava,MWI
29.885299859261067,0.013932540726928237,0.3014189669979144,12.0,2,2,Malawi,Cassava,MWI
1.1331453400490382e-23,6.84679963775854e-27,0.050727937668945774,7.0,1,2,Yemen,Cassava,YEM
1.1331453400490382e-23,6.84679963775854e-27,0.050727937668945774,10.0,2,2,Yemen,Cassava,YEM
0.02353272782283966,0.00017177173593313621,0.005447560507107185,2.0,1,2,Trinidad and Tobago,Cassava,TTO
0.02353272782283966,0.00017177173593313621,0.005447560507107185,8.0,2,2,Trinidad and Tobago,Cassava,TTO
