,iso_a3,cropname,whichlag,r2,avg_gdp,flag_sum,total_harvarea,cropland_fraction,avg_sm,avg_tmax
0,AFG,Barley,yield_log_dt,0.12992633193854747,415.4949455842083,0.0,49.19574961855051,0.0446889231650886,0.1921022210149453,19.485819625734084
1,AFG,Maize,yield_lag,0.004224349744846559,415.4949455842083,0.0,37.99632264715558,0.0446889231650886,0.13134130025549892,28.79394843796233
2,AFG,Millet,yield_lead,0.05379956475132556,415.4949455842083,11.0,10.653797948266371,0.0445836124749537,0.11678985851475225,27.590094605359713
3,AFG,Potatoes,yield_lag,0.009842881157485923,415.4949455842083,0.0,92.85891863168432,0.0446889231650886,0.14182655480516337,27.841443704984254
4,AFG,Pulses nes,yield_lag,0.012962056629199026,415.4949455842083,20.0,1.2004646950059623,0.0445345864226311,0.13842904452618324,29.85906678556206
5,AFG,"Rice, paddy",yield_log_dt,0.17085017497698646,415.4949455842083,0.0,51.51978133587909,0.0446889231650886,0.1294038498884624,25.544753427525233
6,AFG,Seed cotton,yield_log_dt,0.10976655538022974,415.4949455842083,3.0,2.533025021737643,0.0520775623268698,0.10236799245513555,32.3027534162827
7,AFG,Sugar beet,yield_log_dt,0.006366645092121944,415.4949455842083,4.0,0.0811479144947497,0.033547987616099,0.1386826014484636,29.09873837368602
8,AFG,Sunflower seed,yield_lead,0.028616036615528303,415.4949455842083,17.0,0.0420759447470118,0.0256937799043062,0.1738095087785315,33.67513477542479
9,AFG,Wheat,yield_log_dt,0.5414937228158909,415.4949455842083,0.0,804.0960583068227,0.0446889231650886,0.16238579099365666,23.031903949370747
10,AGO,Cassava,yield_log_dt,0.1466263434766723,2638.261393882451,0.0,184.6009381479962,0.0027254806556535,0.23824842134756102,26.942273101077046
11,AGO,"Groundnuts, with shell",yield_lag,0.09081850586750981,2638.261393882451,0.0,21.791941590287763,0.0027243468945726,0.19652224579805,27.735719849820633
12,AGO,Maize,yield_log_dt,0.00023411389800340518,2638.261393882451,0.0,237.34068177166955,0.0026334655587703,0.2754844232565552,25.947698569835502
13,AGO,Millet,yield_log_dt,1.9276066956205215e-08,2638.261393882451,4.0,71.94732599521922,0.0027280785276688,0.2564243348225526,27.099279311632547
14,AGO,Potatoes,yield_lag,0.00962025444733136,2638.261393882451,0.0,5.330832884867476,0.0027254806556535,0.27297104149987744,27.0212343542074
15,AGO,"Rice, paddy",yield_log_dt,0.04259902236390128,2638.261393882451,0.0,1.6425124282229715,0.0027254806556535,0.27988315350663023,28.03171674752514
16,AGO,Seed cotton,yield_lead,0.13634250592358926,2638.261393882451,21.0,3.3718271060885456,0.0027244122071983,0.22936542534332266,26.838215545921912
17,AGO,Sorghum,yield_log_dt,0.1189253319276469,2638.261393882451,7.0,0.0658544747848282,0.0031318394997394,0.18277481162671338,28.70032759949768
18,AGO,Soybeans,yield_log_dt,0.0007932249214857672,2638.261393882451,7.0,0.024549556110287,1.5710919088766692e-05,0.2801084278421682,28.70433718566542
19,AGO,Sunflower seed,yield_lag,0.057963398514383806,2638.261393882451,21.0,4.891934684629902,0.002720105166014,0.2518919170004651,27.41318890746203
20,AGO,Sweet potatoes,yield_log_dt,0.0855447935485701,2638.261393882451,0.0,19.949913819701123,0.0027254806556535,0.16797014168185417,27.14063902213046
21,AGO,Wheat,yield_lead,0.1121524149866732,2638.261393882451,21.0,0.8565296800129545,0.0027244122071983,0.19421322942089356,27.114006947090527
22,ALB,Barley,yield_lag,0.16232761080694696,4134.682595650997,0.0,1.0517162320533622,0.1048122206657327,0.2884323716490811,16.961395737450346
23,ALB,Maize,yield_log_dt,0.10224395181347348,4134.682595650997,0.0,23.382744741858914,0.1094821301564722,0.22493622468405125,27.212720057290117
24,ALB,Oats,yield_log_dt,0.036218332013512905,4134.682595650997,0.0,4.619697356713004,0.1094821301564722,0.2874480236406037,18.7672614569469
25,ALB,Potatoes,yield_lead,0.19367451652375653,4134.682595650997,0.0,4.809317533596186,0.1094821301564722,0.27382326907972915,21.547728452055637
26,ALB,Pulses nes,yield_lead,0.256239558833258,4134.682595650997,21.0,0.6168199067651585,0.1100067018139576,0.22740729540288285,27.133428164025748
27,ALB,Rye,yield_lag,0.10137415793748962,4134.682595650997,0.0,0.8079748591831617,0.0944154719522755,0.2978142721590515,13.938907249266471
28,ALB,Seed cotton,yield_lag,0.0007136398523676444,4134.682595650997,21.0,0.3637616899799274,0.1544515193036189,0.2444941379701261,24.521917647399267
29,ALB,Soybeans,yield_log_dt,0.020256224505079724,4134.682595650997,0.0,0.1657686485534668,0.2175494929985514,0.21670886283806967,27.52775212752437
30,ALB,Sugar beet,yield_log_dt,0.0016758828885129503,4134.682595650997,7.0,0.6631405781181456,0.085642838439382,0.22424336183363916,23.359978730270498
31,ALB,Sunflower seed,yield_lead,0.06121943882756342,4134.682595650997,0.0,0.6948773272215476,0.1577580971659919,0.22678568111155897,27.506882188593522
32,ALB,Wheat,yield_lag,1.4823683263314166e-05,4134.682595650997,0.0,48.14406773533119,0.1094821301564722,0.2898908497765906,19.550342178878317
33,ARE,Potatoes,yield_log_dt,0.0333961215519808,42154.85451894592,5.0,0.1438773504050914,0.0006648199445983,0.10392736077613292,27.16969321451016
34,ARE,Wheat,yield_lag,0.014365873697029935,42154.85451894592,1.0,0.0196733144512109,0.0006648199445983,0.10305674879102839,33.13827156538619
35,ARG,Barley,yield_log_dt,0.003847755368901034,9635.663202975516,0.0,102.77360088584275,0.3720234892885392,0.19397057567317458,23.337136426837194
