cropname,country,r2,adj_r2,ftest_pval,coef_sm_dt,coef_tmax_dt,pval_sm_dt,pval_tmax_dt,model,pval_sm_dt_pass,pval_tmax_dt_pass,ftest_pval_pass
Barley,Afghanistan,0.7080514194326866,0.68024679271199,2.4306188682087935e-06,19.14545845328857,0.06033157838362869,0.0003267265584033925,0.24180310374256908,Satellite,True,False,True
Barley,Albania,0.21345748170050483,0.1385486704338862,0.08036799718822331,2.5283492453262313,0.028235180957010896,0.14865045185554504,0.06642464027580208,Satellite,False,False,False
Barley,Algeria,0.6825511381600975,0.652317913222964,5.855643527022662e-06,11.82227642981011,-0.11037901681740421,0.0155726844489714,0.09882137037322604,Satellite,True,False,True
Barley,Argentina,0.49042892907943647,0.4418983508965256,0.0008426554370664158,6.383780125161529,-0.010276413993555599,0.003416838060769143,0.8533139484854912,Satellite,True,False,True
Barley,Armenia,0.07605374070858761,-0.011941141128689825,0.4358032562080977,-1.2958674021548595,0.01788156908323845,0.4356686417767375,0.447110115750053,Satellite,False,False,False
Barley,Australia,0.7247904877433107,0.6985800580045783,1.3075735494006096e-06,11.718665885244093,0.0378052288365289,3.4083839208855577e-06,0.376005513572613,Satellite,True,False,True
Barley,Austria,0.06809905311550302,-0.020653418016354008,0.4768506803634522,2.552401701238435,0.02637794066937952,0.42248520460097083,0.23663625796245175,Satellite,False,False,False
Barley,Azerbaijan,0.18981757812176336,0.11265734746669309,0.10967801225689391,4.078323482428837,0.043770368977395266,0.04354035963870468,0.20838456512541478,Satellite,True,False,False
Barley,Bangladesh,0.26826283102521753,0.19857357683714294,0.037646856275069925,-0.8289168286242493,0.03566396414766458,0.3888021805953249,0.061376836300031344,Satellite,False,False,True
Barley,Belarus,0.05208892466938786,-0.03818832060019428,0.5702427526534078,1.6963784026090631,0.031890853206022494,0.5466211691924524,0.2977920486781695,Satellite,False,False,False
Barley,Belgium,0.41510979198408215,0.35662077118249036,0.004685365835939002,4.129811115450233,0.0505218780248952,0.0444683582770902,0.0013052440636120875,Satellite,True,True,True
Barley,Bhutan,0.4403453571664413,0.3843798928830854,0.003014401586664158,2.380745953048276,-7.881909844586728e-05,0.0010543318121901107,0.9891660860244778,Satellite,True,False,True
Barley,Bolivia (Plurinational State of),0.5750625997642165,0.5325688597406382,0.0001919771612771248,4.6753443781412445,0.008586053663823553,0.0003176728556222499,0.6047317142325201,Satellite,True,False,True
Barley,Bosnia and Herzegovina,0.07938552168727087,-0.008292047675846348,0.41958205631079976,-0.6848444266712411,0.019384064382424095,0.7156890512091392,0.3091363400391076,Satellite,False,False,False
Barley,Brazil,0.33859432969829695,0.2724537626681266,0.016020613328417962,3.7819787542582644,0.018823449318695777,0.004527583227822398,0.3045319195409726,Satellite,True,False,True
Barley,Bulgaria,0.19662250210997112,0.12011035945377779,0.10038214325926346,4.377242693217152,0.057299451533130985,0.0631129271972327,0.058558938071252405,Satellite,False,False,False
Barley,Canada,0.2974300586189834,0.23051863563031505,0.024560682635701995,4.694145860541452,-0.0037828856979046114,0.010963167812321593,0.8828310181715068,Satellite,True,False,True
Barley,Chile,0.23187351462908923,0.1550608660919981,0.07150351647540083,1.4016983824820743,-0.011513305915402939,0.2319972420645136,0.41682761350959907,Satellite,False,False,False
Barley,"China, mainland",0.0687523420162025,-0.019937911125111674,0.4733523441393933,1.468529443877106,0.013954052547759997,0.4516951983418427,0.27200300785773973,Satellite,False,False,False
Barley,Colombia,0.3277152819978033,0.2604868101975836,0.01885959630446612,0.34758790634115505,-0.00977060570731564,0.2608973606245445,0.22509715056195476,Satellite,False,False,True
Barley,Croatia,0.12714711127759448,0.044018264732603396,0.23981760548333553,3.4124058129779122,0.042664557172735165,0.19487581989323954,0.09513064345415347,Satellite,False,False,False
Barley,Czechia,0.1585207223683519,0.07837983878438537,0.1632886382682742,-8.076152958729054,-0.024438707306717152,0.0626942334183907,0.2584723363442801,Satellite,False,False,False
Barley,Democratic People's Republic of Korea,0.4443148323537036,0.3913924354350087,0.0020926781984671873,2.0304790223037195,0.06392511894905263,0.17348860164308877,0.0005465505181941651,Satellite,False,True,True
Barley,Democratic Republic of the Congo,0.006939398061736601,-0.09236666213208977,0.9327333881612521,0.37821659352447345,0.0007179786991764191,0.7915715350128895,0.9450488451555844,Satellite,False,False,False
Barley,Denmark,0.21018148812636905,0.13496067747173746,0.08395310053300312,8.452367709979482,0.040868579858967455,0.029947104451285143,0.15188168928659632,Satellite,True,False,False
Barley,Ecuador,0.05408495228703081,-0.03600219511420444,0.5577600577490445,-0.49273318970825675,0.011736931454555045,0.702366310212529,0.34775480438377415,Satellite,False,False,False
Barley,Egypt,0.3777850558501987,0.3155635614352186,0.00869769904701672,0.17206599060598768,-0.01719875921062226,0.8193458730521765,0.004660190026721328,Satellite,False,True,True
Barley,Eritrea,0.6990984566347833,0.6704411667904769,3.3377696447779058e-06,13.908133563284846,0.06282825686434904,1.1045909714057438e-05,0.007502390576072407,Satellite,True,True,True
Barley,Estonia,0.09105855037778565,0.004492698032812714,0.36696702440301554,-2.763703566057672,7.507966547947928e-05,0.25561954288995437,0.9976841358311035,Satellite,False,False,False
Barley,Ethiopia,0.7403658171133151,0.715638752076488,7.092504776329688e-07,7.472830118069746,0.010789077857223363,3.298760956171462e-07,0.5325205655807062,Satellite,True,False,True
Barley,Finland,0.06739167094208653,-0.02142816992057206,0.4806650475849757,-2.0252566047078613,0.00016322710305070182,0.31930760670114144,0.9917822585146098,Satellite,False,False,False
Barley,France,0.40461306403329955,0.3450743704366295,0.005597485933507388,5.421446654420778,0.03835743931125717,0.002119431991019423,0.0060896655683164705,Satellite,True,True,True
Barley,Georgia,0.291057175634568,0.22353881140928866,0.027003354427733585,0.7990744106789771,0.0416383906634222,0.5493481184499859,0.00842638041263899,Satellite,False,True,True
Barley,Germany,0.1800393616304754,0.09804329779352283,0.1373820677978922,6.656105386282684,0.03919707001769769,0.10506433021194418,0.049117574671015546,Satellite,False,True,False
Barley,Greece,0.16678805163186017,0.08743453273965629,0.14720841483830802,-0.1837125863969774,0.03745419894702069,0.9290799624440762,0.09640215195954353,Satellite,False,False,False
Barley,Guatemala,0.3431143645111532,0.27742580096226843,0.014958830802122904,1.7847317774752038,-0.004490348212418716,0.011789125742367006,0.7097943029907359,Satellite,True,False,True
Barley,Hungary,0.28827342440557424,0.2204899410156289,0.0281376884344092,5.0470499934959925,0.06052670432841261,0.00966158269019675,0.021173800910820315,Satellite,True,True,True
Barley,India,0.526111442977995,0.48097919945208967,0.0003931880682759219,4.1151264342222955,0.004864325058652372,0.0002840193352637441,0.7181077145237161,Satellite,True,False,True
Barley,Iran (Islamic Republic of),0.7621040198031286,0.7394472597843789,2.8318131147202787e-07,10.673234554301368,0.02029719546867719,2.3031126416539746e-07,0.258898070938658,Satellite,True,False,True
Barley,Iraq,0.5842662440405904,0.544672552996837,9.943986683236126e-05,13.743466063314534,0.02285172545707802,2.9146999300627075e-05,0.49697822024338,Satellite,True,False,True
Barley,Ireland,0.24814110463281214,0.17653549555022274,0.05005317074545157,-2.4430614667151467,0.06691776973248001,0.5169663071877383,0.01850482003946516,Satellite,False,True,False
Barley,Israel,0.5758378999737206,0.5354415094950273,0.00012276781775298506,5.322040508552467,-0.013832084546739364,6.438061920146646e-05,0.335349713617644,Satellite,True,False,True
Barley,Italy,0.19957705720262064,0.12334630074572728,0.09657285016622826,4.300822451365481,0.01777054467731081,0.04357185453433844,0.41065504034862066,Satellite,True,False,False
Barley,Japan,0.31579171434956577,0.25062902047809577,0.01859848015770272,-1.2101038258259145,0.0316947296418373,0.3013059026592941,0.00527570722405246,Satellite,False,True,True
Barley,Jordan,0.330352127973334,0.2665761401612705,0.01483843769527567,7.5185456350570155,-0.09215539627066688,0.04318590181042145,0.11133497966025109,Satellite,True,False,True
Barley,Kazakhstan,0.39866269513970165,0.34139247562919695,0.004794469291167583,10.226025515832502,0.010881450879058013,0.0035112112058361877,0.7978449228966485,Satellite,True,False,True
Barley,Kenya,0.8604820259156779,0.8465302285072457,2.7944839088615893e-09,13.36942063122459,-0.01256990121873326,3.071483061404898e-06,0.8450008639213122,Satellite,True,False,True
Barley,Kuwait,0.1802399603029845,0.10216757556993528,0.12408257982695957,-2.4462266770978545,-0.14311171929281152,0.6002354277498714,0.04804724166682599,Satellite,False,True,False
Barley,Kyrgyzstan,0.37069333101580326,0.3107593625411178,0.007727775706856321,6.087666660973953,0.011632758892770672,0.0025938876371494448,0.6797765972599776,Satellite,True,False,True
Barley,Latvia,0.1775608504117494,0.09923331235572541,0.12840727838375876,-3.9243848044608463,-0.013760251556221514,0.0490398526849135,0.5368132573638515,Satellite,True,False,False
Barley,Lebanon,0.055877807547768166,-0.03403859173339696,0.5467592832558145,2.846009628685507,-0.023482481916906883,0.3959652193763896,0.5104936881963709,Satellite,False,False,False
Barley,Lesotho,0.3503788713444461,0.2885101924248695,0.010787765265961376,5.94625965346747,0.07843171236124133,0.0029720018968805864,0.12837118773990358,Satellite,True,False,True
Barley,Libya,0.31625838862700195,0.25114013992481155,0.018465714515867895,12.002313510673604,0.00812458119780068,0.011346664911473686,0.8533832883744777,Satellite,True,False,True
Barley,Lithuania,0.05573633495488939,-0.03419353790654989,0.5476201555069069,-2.374227485603936,-0.0228057694980175,0.3065856355494461,0.3850160712611793,Satellite,False,False,False
Barley,Luxembourg,0.441498006139319,0.38564780675325083,0.0029528900669017586,1.9944892828476735,0.0431810972432274,0.20428096430251658,0.001539507272893794,Satellite,False,True,True
Barley,Mauritania,0.5765383709690178,0.5200768204315536,0.0015889326133160216,18.881142110602063,0.026842876674317503,0.00046180778252724933,0.6459614078642244,Satellite,True,False,True
Barley,Mexico,0.6168422489510798,0.5803510345654683,4.2214822029659856e-05,0.13462558807442715,-0.12955123914369346,0.9456552015892948,0.001538022762597292,Satellite,False,True,True
Barley,Mongolia,0.34644060235071694,0.28419685019364227,0.011494581668680984,10.967592375422253,0.03320573040428847,0.008156872963642989,0.3414816835815364,Satellite,True,False,True
Barley,Montenegro,0.10452213555833467,-0.023403273647617517,0.46172563168882524,1.3216003768703595,0.00589134470802375,0.3110578811227673,0.7056212645544506,Satellite,False,False,False
Barley,Morocco,0.5931014475267844,0.5543492044340972,7.936052298049269e-05,22.65690128220941,0.04430723600955049,0.00014354898399103472,0.5368698007538643,Satellite,True,False,True
Barley,Nepal,0.3019213743217375,0.23543769568571238,0.02296125261957465,2.267722140943051,0.00024107004543240515,0.008549466509219523,0.9814894262686765,Satellite,True,False,True
Barley,Netherlands,0.31070027609852935,0.24505268334600827,0.020104121378735847,5.489997647219282,0.04588020223986506,0.056113830130316046,0.005974184395338172,Satellite,False,True,True
Barley,New Zealand,0.19923613887849378,0.12297291400977883,0.09700561700129334,4.616556644451313,0.005196164020539712,0.03802070455083748,0.9040102578181727,Satellite,True,False,False
Barley,North Macedonia,0.06056527262223654,-0.02890470141374113,0.5189188046576787,1.3060179111052403,0.027042306791894292,0.5154064383091864,0.260569742882939,Satellite,False,False,False
Barley,Norway,0.00898344882905544,-0.09011820628803902,0.9137114724018945,-0.2695475666557044,0.00430307079460711,0.8728379709922067,0.7509251318103365,Satellite,False,False,False
Barley,Pakistan,0.5257027523551343,0.4805315859127661,0.00039676316558065553,3.960295715752589,-0.0027197758865973153,0.0060339740196779425,0.8538433584738228,Satellite,True,False,True
Barley,Peru,0.1175736088920375,0.03353300021508854,0.26892063416021444,2.564090476531795,-0.007064104537835053,0.14273671782729624,0.6866194427967687,Satellite,False,False,False
Barley,Poland,0.041960337504887146,-0.04928153511369504,0.6375681820570649,-1.1632328126602505,0.010545431074971863,0.8077125133779326,0.6550907035786189,Satellite,False,False,False
Barley,Portugal,0.5767113776880307,0.5343825154568338,0.0001846570746406443,7.571747731852382,0.021697649340077715,0.00011648968562788594,0.3958122737234263,Satellite,True,False,True
Barley,Republic of Korea,0.46676214385103787,0.4159775861225652,0.0013572824195304891,-0.17899137901981102,0.0632732136327582,0.8868782079650774,0.0003477170851975623,Satellite,False,True,True
Barley,Republic of Moldova,0.38701322046942377,0.3286335271807974,0.005864576214472375,11.540318042150231,0.04665424485067713,0.005409408212934861,0.3280697060087119,Satellite,True,False,True
Barley,Romania,0.22797135595074836,0.1544448184222481,0.06609229712825604,5.933782846009876,0.029850761537996595,0.03806424812895657,0.4168077965557143,Satellite,True,False,False
Barley,Russian Federation,0.09192628030047079,0.0011189083305177538,0.38125106950668186,1.3626969376350744,-0.01515499940706489,0.44385167425100924,0.505322607979301,Satellite,False,False,False
Barley,Saudi Arabia,0.024563621612983533,-0.06833508109054187,0.7701741848456215,2.6728236121260283,0.0403996908897825,0.6553741876137431,0.4861945634145016,Satellite,False,False,False
Barley,Serbia,0.4880481224231663,0.41978787207958845,0.006595056959979186,5.995587960012646,0.06095929287881224,0.0031586118379437183,0.005888202534545962,Satellite,True,True,True
Barley,Slovakia,0.06724256538139506,-0.021591476010853095,0.4814725730619757,1.4510367250061693,0.028336359656297508,0.45084330424681207,0.23302585683459934,Satellite,False,False,False
Barley,Slovenia,0.3435532712292507,0.281034535155846,0.012039116831308256,4.480119370979491,0.05723958048574246,0.04501800508041788,0.0033048616950007285,Satellite,True,True,True
Barley,South Africa,0.08303694817044971,-0.004292866289507646,0.40243364623134376,2.4025415710293347,0.0010054438220896376,0.30402703409458404,0.9848032814649945,Satellite,False,False,False
Barley,Spain,0.4210536454952545,0.36591589744718345,0.0032188622974402997,9.372503878027718,0.02609500831038893,0.0027989064252273233,0.4438348635823828,Satellite,True,False,True
Barley,Sweden,0.08723956619599516,0.0003100010718041224,0.38348330704089173,-1.706308666558554,-0.033395258691286886,0.6359303881200602,0.172781172658517,Satellite,False,False,False
Barley,Switzerland,0.21708864961947738,0.14252566386895138,0.0765565208195527,-1.4571103574234534,0.02156621068229904,0.5069601777846464,0.1329571813806719,Satellite,False,False,False
Barley,Syrian Arab Republic,0.41527542090141045,0.3595873657491637,0.0035726393253561694,7.414345839488392,-0.029432807344108386,0.004556748098342327,0.45856787343841443,Satellite,True,False,True
Barley,Tajikistan,0.37292053801972225,0.313198684497791,0.007445383270149876,5.1121257839711305,-0.004839177129269923,0.020192251804793344,0.8742691161537098,Satellite,True,False,True
Barley,Thailand,0.1825466318154162,0.10469393008355099,0.12046513451484261,0.2987423187687037,-0.0194111156309945,0.6658121069644499,0.28940724250419625,Satellite,False,False,False
Barley,Tunisia,0.3203170317600492,0.25558532049910143,0.017346707962369562,14.125460370538262,0.020572082524737904,0.022182633398807227,0.8306902176127273,Satellite,True,False,True
Barley,Turkey,0.10478130428026455,0.01952238087838487,0.3127922656281885,5.488395879615543,0.0025274385876032333,0.14023731706891035,0.9391179662097852,Satellite,False,False,False
