iso_a3,value,wb,country
KIR,1525.3777382092148,Kiribati,Kiribati
KNA,16944.78837074761,St. Kitts and Nevis,Saint Kitts and Nevis
KOR,24636.60234429413,"Korea, Rep.",Republic of Korea
KWT,35066.49371800134,Kuwait,Kuwait
LAC,7338.238428496537,,
LAO,1430.80116408998,Lao PDR,Lao People's Democratic Republic
LBN,6147.059627250837,Lebanon,Lebanon
LBR,529.4306666323531,Liberia,Liberia
LBY,8555.316077555553,Libya,Libya
LCA,9030.599959729723,St. Lucia,Saint Lucia
LCN,7778.878589910576,,
LDC,813.5706487678631,,
LIE,143606.01579269688,Liechtenstein,
LKA,2739.23250558202,Sri Lanka,Sri Lanka
LMY,3459.577348761506,,
LSO,930.4069616675388,Lesotho,Lesotho
LTE,6789.369555060671,,
LTU,13912.020568308648,Lithuania,Lithuania
LUX,101947.48070224749,Luxembourg,Luxembourg
LVA,12667.1069581284,Latvia,Latvia
MAC,50036.361373520245,"Macao SAR, China",
MAF,20567.69595921257,St. Martin (French part),
MAR,2903.7427978515643,Morocco,Morocco
MCO,166229.318389339,Monaco,
MDA,2737.3247931598785,Moldova,Republic of Moldova
MDG,431.0962187033247,Madagascar,Madagascar
MDV,7433.10620650858,Maldives,Maldives
MEA,4512.334228586457,,
MEX,9723.400971908524,Mexico,Mexico
MHL,3806.7302631132234,Marshall Islands,Marshall Islands
MIC,3715.779997561729,,
MKD,4964.23718233872,North Macedonia,North Macedonia
MLI,768.0361319374165,Mali,Mali
MLT,23824.255444290226,Malta,Malta
MMR,865.0854940727814,Myanmar,Myanmar
MNA,2408.1435409248384,,
MNE,6377.2341483243645,Montenegro,Montenegro
MNG,2869.1171662976053,Mongolia,Mongolia
MNP,18842.01161701951,Northern Mariana Islands,
MOZ,506.0087808578256,Mozambique,Mozambique
MRT,1477.5366771431193,Mauritania,Mauritania
MUS,8113.456763848975,Mauritius,Mauritius
MWI,509.3277108218296,Malawi,Malawi
MYS,8429.318886614861,Malaysia,Malaysia
NAC,52453.67468655959,,
NAM,4229.589800742113,Namibia,Namibia
NCL,30378.751806048396,New Caledonia,New Caledonia
NER,452.8069984008145,Niger,Niger
NGA,1833.194175136683,Nigeria,Nigeria
NIC,1673.025739921285,Nicaragua,Nicaragua
NLD,48309.007431988655,Netherlands,Netherlands
NOR,77699.94174914995,Norway,Norway
NPL,722.1122260953681,Nepal,Nepal
NRU,6981.528458672093,Nauru,Nauru
NZL,34783.60199719136,New Zealand,New Zealand
OED,34894.98023570381,,
OMN,18421.435826742967,Oman,Oman
OSS,10298.111149647286,,
PAK,1116.2827543818075,Pakistan,Pakistan
PAN,10399.112700686832,Panama,Panama
PER,5019.584975647039,Peru,Peru
PHL,2321.719001232428,Philippines,Philippines
PLW,12075.337434590589,Palau,
PNG,1876.08236035046,Papua New Guinea,Papua New Guinea
POL,12289.982207317356,Poland,Poland
PRE,1222.3055800739046,,
PRI,26639.273701139387,Puerto Rico,Puerto Rico
PRK,,"Korea, Dem. People's Rep.",Democratic People's Republic of Korea
PRT,20680.014893484327,Portugal,Portugal
PRY,4455.9047474952295,Paraguay,Paraguay
PSE,2609.6706874789897,West Bank and Gaza,
PSS,3145.267895228783,,
PST,39798.10732439204,,
PYF,21093.391962675392,French Polynesia,French Polynesia
QAT,66238.07218241708,Qatar,Qatar
ROU,8856.39772457206,Romania,Romania
RUS,9534.199732462564,Russian Federation,Russian Federation
RWA,593.218200635896,Rwanda,Rwanda
SAS,1349.6139264557248,,
SAU,22616.177729271043,Saudi Arabia,Saudi Arabia
SDN,947.1428362528484,Sudan,Sudan
SEN,1222.987725283271,Senegal,Senegal
SGP,49843.97659621325,Singapore,Singapore
SLB,1678.8251017539776,Solomon Islands,Solomon Islands
SLE,708.4783653113677,Sierra Leone,Sierra Leone
SLV,3370.7971677502533,El Salvador,El Salvador
SMR,52308.16462423467,San Marino,
SOM,416.077404640296,Somalia,Somalia
SRB,6128.946279743611,Serbia,Serbia
SSA,1488.2485345967234,,
SSD,1375.87731816094,South Sudan,South Sudan
SSF,1388.5159193010077,,
SST,9809.1134748094,,
STP,1335.8211180449005,São Tomé and Príncipe,Sao Tome and Principe
SUR,5710.98481509682,Suriname,Suriname
SVK,15867.251097356288,Slovak Republic,Slovakia
SVN,21994.33578771431,Slovenia,Slovenia
