,iso_a3,model,adj_r2,coef_sm_dt
0,AFG,Satellite,0.4075285999667292,12.676389851738012
1,AFG,Survey,0.10300379002604824,10.711332382371804
2,AGO,Satellite,0.21094351462998154,1.8182301947883512
3,AGO,Survey,0.06625051224109005,8.571022329928619
4,ALB,Satellite,0.30471161812915404,2.120863030852028
5,ALB,Survey,0.07035452303084486,-1.470125372890491
6,ARE,Satellite,0.09055768153545252,8.798517390411828
7,ARE,Survey,0.006072937931313249,3.071009876112806
8,ARG,Satellite,0.37768227304069973,3.961973296731072
9,ARG,Survey,0.15045056851730326,1.5690848824621384
10,ARM,Satellite,0.056810559965533844,0.9467708256383118
11,ARM,Survey,0.07224249534024835,-9.609041947147077
12,AUS,Satellite,0.35644020599320897,11.308081655248571
13,AUS,Survey,0.1390453315352416,3.8211498585248944
14,AUT,Satellite,0.19195233042054619,1.5966528383774146
15,AUT,Survey,0.05091191990780064,2.43771338111545
16,AZE,Satellite,0.09216703511945555,3.118680120247556
17,AZE,Survey,0.0341653180756737,-1.2700311362443935
18,BDI,Satellite,0.09567662310272344,1.737116864338696
19,BDI,Survey,0.11297664985867036,-0.34777328340152946
20,BEL,Satellite,0.2259447911761317,2.6015767468019657
21,BEL,Survey,0.00876759671747003,1.0412855700214714
22,BEN,Satellite,0.24955480944244313,3.8561648118981915
23,BEN,Survey,0.03035211848099395,-0.7288470042900581
24,BFA,Satellite,0.24777960095008825,3.213695046561496
25,BFA,Survey,0.11676310634739649,3.7993424032767673
26,BGD,Satellite,0.2374968099711802,-2.330400285981231
27,BGD,Survey,0.05972826004076021,-1.963005171514343
28,BGR,Satellite,0.3678175017939959,2.9115603563137786
29,BGR,Survey,0.1452226538772918,5.654924025716425
30,BHS,Satellite,-0.09374140438073186,0.07424065859180128
31,BHS,Survey,0.09952661642982737,4.101452201689749
32,BIH,Satellite,0.16621851134128635,-0.6580259094166949
33,BIH,Survey,0.03290741235532554,-0.6929287496657965
34,BLR,Satellite,0.05148793569999373,1.002161429521583
35,BLR,Survey,0.1692889091900877,10.342086972040445
36,BLZ,Satellite,0.16475102964667684,1.249609990662929
37,BLZ,Survey,0.047489876957162475,-0.9037425166278155
38,BOL,Satellite,0.08371203992797593,1.9336954498958137
39,BOL,Survey,0.06412311037219841,4.2896669857322385
40,BRA,Satellite,0.28106253678418663,3.7036892102609333
41,BRA,Survey,0.04035047531328058,2.617806610596634
42,BRN,Satellite,-0.017992143184341614,0.4759867453525592
43,BRN,Survey,0.07539489995644966,-2.704720032475855
44,BTN,Satellite,-0.002663845985201156,0.5658364049084508
45,BTN,Survey,0.0807920198190415,-3.8136056982140887
46,BWA,Satellite,0.5435825469379538,11.686848626901845
47,BWA,Survey,0.08813362542933692,12.545612202140532
48,CAF,Satellite,0.04451348445113681,0.1239961124117634
49,CAF,Survey,0.138024376188225,-4.000895911017799
50,CAN,Satellite,0.14499815250417028,3.0416478518162324
51,CAN,Survey,0.09325515293832613,3.695935402916466
52,CHE,Satellite,0.1914708377572947,-0.9658717840899047
53,CHE,Survey,0.04106052655069641,-3.2605008553078894
54,CHL,Satellite,0.15966262333849632,1.087567501873385
55,CHL,Survey,0.01523194765556225,-0.2722075535995638
56,CHN,Satellite,0.04694164479868314,-0.14696257324202402
57,CHN,Survey,0.04083768786510377,-0.7316924000927059
58,CMR,Satellite,0.02756706407362368,0.8170172682721553
59,CMR,Survey,0.029534871317831928,1.3468333204995901
60,COD,Satellite,0.10157399377782118,1.1591253721535313
61,COD,Survey,0.11897345951099547,1.1422950445307807
62,COG,Satellite,0.15193413588057952,3.3240683281068266
63,COG,Survey,0.0862087479158064,1.3793544544695528
64,COL,Satellite,0.33443510225541,1.244840412905032
65,COL,Survey,0.08819407814455076,1.0720663429657105
66,COM,Satellite,-0.0373308962942276,0.4694024044365606
67,COM,Survey,0.22464294107710503,0.006138166206978054
68,CRI,Satellite,0.3020773456656146,1.1328505591989353
69,CRI,Survey,0.024315149862071013,-1.4283000291685854
70,CUB,Satellite,0.415700674167615,5.069962753032119
71,CUB,Survey,0.026890973234226442,-1.1271940696603635
72,CYP,Satellite,-0.05826875421103739,5.0441973090581405
73,CYP,Survey,-0.08090525191299625,-0.8785810654426652
74,CZE,Satellite,0.3237292758058847,-3.719055347585014
75,CZE,Survey,0.06789674528357045,-0.97742846092163
76,DEU,Satellite,0.2949316757954483,5.010170123194778
77,DEU,Survey,0.10318223440501786,3.605061711295859
78,DJI,Satellite,-0.08055934694519151,5.270197457918448
79,DJI,Survey,0.18470390362614753,-1.241926152824003
80,DMA,Satellite,0.9015725934380523,-3.4487171621955692
81,DMA,Survey,0.40721868765952274,0.118690964712878
82,DNK,Satellite,0.2648352761443171,6.33035513438944
83,DNK,Survey,0.0960398757812716,7.727341112283483
84,DOM,Satellite,0.5768490186504296,4.357264355876234
85,DOM,Survey,0.012885891716542003,1.8692422165558817
86,DZA,Satellite,0.4324942326772976,9.668612466213771
